loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,pub_rec,pub_rec_bankruptcies,issue_year,loan_amnt_ctg,funded_amnt_inv_ctg,annual_inc_ctg
9200,9200,9200.0,36,6.0,280.01,A,A1,6,RENT,77385.19,Dec-11,Fully Paid,debt_consolidation,CA,9.86,0,0.0,11,1,1,7
20250,20250,19142.16108,60,15.2,484.63,C,C4,3,RENT,43370.0,Dec-11,Fully Paid,debt_consolidation,TX,26.53,0,0.0,11,4,3,4
21000,21000,21000.0,36,12.4,701.73,B,B4,10,RENT,105000.0,Dec-11,Charged Off,debt_consolidation,FL,13.22,0,0.0,11,4,4,10
10000,10000,10000.0,36,11.7,330.76,B,B3,10,OWN,50000.0,Dec-11,Fully Paid,credit_card,TX,11.18,0,0.0,11,2,2,5
10000,10000,10000.0,36,11.7,330.76,B,B3,5,RENT,50000.0,Dec-11,Fully Paid,debt_consolidation,CA,16.01,0,0.0,11,2,2,5
6000,6000,6000.0,36,11.7,198.46,B,B3,1,RENT,76000.0,Dec-11,Charged Off,major_purchase,CA,2.4,0,0.0,11,1,1,7
15000,15000,15000.0,36,9.9,483.38,B,B1,2,MORTGAGE,92000.0,Dec-11,Fully Paid,credit_card,IL,29.44,0,0.0,11,3,3,9
15000,15000,8725.0,36,14.2,514.64,C,C2,9,RENT,60000.0,Dec-11,Charged Off,debt_consolidation,NY,15.22,0,0.0,11,3,1,6
5000,5000,5000.0,60,16.7,123.65,D,D2,2,RENT,50004.0,Dec-11,Charged Off,other,PA,13.97,0,0.0,11,1,1,5
4000,4000,4000.0,36,11.7,132.31,B,B3,10,MORTGAGE,106000.0,Dec-11,Fully Paid,debt_consolidation,FL,5.63,0,0.0,11,0,0,10
8500,8500,8500.0,36,11.7,281.15,B,B3,1,RENT,25000.0,Dec-11,Fully Paid,credit_card,MN,12.19,0,0.0,11,1,1,2
4375,4375,4375.0,36,7.5,136.11,A,A3,7,MORTGAGE,17108.0,Dec-11,Fully Paid,debt_consolidation,NY,20.34,0,0.0,11,0,0,1
31825,31825,31825.0,36,7.9,995.82,A,A4,5,MORTGAGE,75000.0,Dec-11,Fully Paid,debt_consolidation,NJ,14.03,0,0.0,11,6,6,7
5000,5000,5000.0,36,8.9,158.77,A,A5,2,RENT,24044.0,Dec-11,Fully Paid,debt_consolidation,OR,11.93,0,0.0,11,1,1,2
7000,7000,7000.0,36,15.9,245.97,C,C5,7,RENT,34000.0,Dec-11,Fully Paid,credit_card,CA,6.35,0,0.0,11,1,1,3
12400,12400,12400.0,36,10.6,403.91,B,B2,10,RENT,41000.0,Dec-11,Fully Paid,credit_card,KY,11.8,0,0.0,11,2,2,4
10800,10800,10800.0,36,9.9,348.03,B,B1,2,RENT,55596.0,Dec-11,Fully Paid,moving,CA,5.5,0,0.0,11,2,2,5
15000,15000,15000.0,36,7.9,469.36,A,A4,1,RENT,45000.0,Dec-11,Fully Paid,debt_consolidation,OH,8.48,0,0.0,11,3,3,4
6000,6000,6000.0,36,12.4,200.5,B,B4,1,RENT,36852.0,Dec-11,Fully Paid,debt_consolidation,AZ,10.62,0,0.0,11,1,1,3
9600,9600,9600.0,36,7.5,298.67,A,A3,4,RENT,68004.0,Dec-11,Fully Paid,other,SC,6.63,0,0.0,11,1,1,6
12000,12000,12000.0,36,7.9,375.49,A,A4,10,RENT,62300.0,Dec-11,Fully Paid,debt_consolidation,NJ,16.7,0,0.0,11,2,2,6
3000,3000,3000.0,36,18.2,108.84,D,D5,9,MORTGAGE,65000.0,Dec-11,Fully Paid,other,PA,17.39,0,0.0,11,0,0,6
4400,4400,4400.0,36,16.7,156.37,D,D2,10,RENT,55000.0,Dec-11,Fully Paid,debt_consolidation,RI,20.01,0,0.0,11,0,0,5
6000,6000,6000.0,36,6.0,182.62,A,A1,10,MORTGAGE,45600.0,Dec-11,Fully Paid,debt_consolidation,LA,5.34,0,0.0,11,1,1,4
14000,14000,14000.0,36,9.9,451.15,B,B1,6,RENT,80000.0,Dec-11,Fully Paid,small_business,MA,10.0,0,0.0,11,2,2,8
5000,5000,5000.0,36,8.9,158.77,A,A5,10,MORTGAGE,100000.0,Dec-11,Charged Off,debt_consolidation,OH,16.33,0,0.0,11,1,1,10
10000,10000,10000.0,36,10.6,325.74,B,B2,6,RENT,27000.0,Dec-11,Fully Paid,other,NY,11.47,0,0.0,11,2,2,2
10000,10000,10000.0,36,6.0,304.36,A,A1,10,RENT,60000.0,Dec-11,Fully Paid,credit_card,CT,12.74,0,0.0,11,2,2,6
11000,11000,11000.0,36,6.6,337.75,A,A2,5,RENT,70000.0,Dec-11,Fully Paid,debt_consolidation,CT,10.85,0,0.0,11,2,2,7
15000,15000,15000.0,36,9.9,483.38,B,B1,8,MORTGAGE,80000.0,Dec-11,Charged Off,debt_consolidation,IL,9.12,0,0.0,11,3,3,8
25600,25600,25350.0,36,9.9,824.96,B,B1,9,RENT,110000.0,Dec-11,Fully Paid,credit_card,CA,15.71,0,0.0,11,5,5,11
7000,7000,7000.0,36,10.6,228.02,B,B2,1,RENT,40000.0,Dec-11,Fully Paid,debt_consolidation,CA,7.38,0,0.0,11,1,1,4
12000,12000,12000.0,36,15.9,421.65,C,C5,4,RENT,50000.0,Dec-11,Charged Off,car,CA,20.88,0,0.0,11,2,2,5
12000,12000,12000.0,36,9.9,386.7,B,B1,1,RENT,46000.0,Dec-11,Fully Paid,credit_card,TX,8.11,0,0.0,11,2,2,4
21000,21000,20975.0,60,19.9,555.33,E,E4,7,RENT,50000.0,Dec-11,Charged Off,debt_consolidation,WA,21.58,0,0.0,11,4,4,5
16000,16000,15950.0,60,19.9,423.11,E,E4,7,RENT,81000.0,Dec-11,Fully Paid,credit_card,MA,20.52,0,0.0,11,3,3,8
10000,10000,10000.0,36,12.4,334.16,B,B4,1,OWN,39000.0,Dec-11,Fully Paid,debt_consolidation,OR,18.58,0,0.0,11,2,2,3
10000,10000,10000.0,36,10.6,325.74,B,B2,2,RENT,51400.0,Dec-11,Fully Paid,credit_card,TX,19.14,0,0.0,11,2,2,5
7100,7100,7100.0,36,16.7,252.33,D,D2,1,MORTGAGE,33000.0,Dec-11,Fully Paid,debt_consolidation,TX,24.0,0,0.0,11,1,1,3
13000,13000,13000.0,60,12.6,293.74,B,B5,1,MORTGAGE,30000.0,Dec-11,Fully Paid,debt_consolidation,NJ,13.72,0,0.0,11,2,2,3
17500,8950,8925.0,60,17.2,223.74,D,D3,6,RENT,40000.0,Dec-11,Fully Paid,small_business,CA,19.47,0,0.0,11,3,1,4
17675,17675,17675.0,60,14.6,417.25,C,C3,1,RENT,50000.0,Dec-11,Fully Paid,debt_consolidation,WI,16.46,0,0.0,11,3,3,5
8000,8000,8000.0,36,16.7,284.31,D,D2,1,RENT,62000.0,Dec-11,Fully Paid,debt_consolidation,VA,21.64,0,0.0,11,1,1,6
10000,10000,9975.0,60,10.6,215.69,B,B2,10,RENT,45996.0,Dec-11,Charged Off,debt_consolidation,OH,21.73,0,0.0,11,2,1,4
3500,3500,3500.0,36,10.6,114.01,B,B2,7,MORTGAGE,55000.0,Dec-11,Fully Paid,debt_consolidation,OH,5.39,0,0.0,11,0,0,5
12500,8925,8925.0,60,17.2,223.11,D,D3,5,RENT,30000.0,Dec-11,Charged Off,debt_consolidation,MN,13.16,1,1.0,11,2,1,3
16425,16425,16425.0,36,14.2,563.53,C,C2,4,RENT,44544.0,Dec-11,Fully Paid,debt_consolidation,CA,22.71,0,0.0,11,3,3,4
8200,8200,8200.0,60,21.2,223.14,F,F2,4,RENT,75000.0,Dec-11,Charged Off,small_business,CA,12.48,0,0.0,11,1,1,7
15000,15000,15000.0,36,14.6,517.42,C,C3,2,OWN,61000.0,Dec-11,Fully Paid,credit_card,FL,11.88,0,0.0,11,3,3,6
20975,13575,13550.0,60,17.5,341.63,D,D4,5,MORTGAGE,44000.0,Dec-11,Fully Paid,credit_card,GA,18.79,1,1.0,11,4,2,4
6400,6400,6400.0,36,16.7,227.45,D,D2,5,RENT,75000.0,Dec-11,Charged Off,debt_consolidation,CA,20.22,0,0.0,11,1,1,7
3000,3000,3000.0,36,13.4,101.8,C,C1,1,RENT,33600.0,Dec-11,Fully Paid,debt_consolidation,AL,18.11,0,0.0,11,0,0,3
12000,12000,12000.0,36,16.7,426.47,D,D2,3,RENT,50000.0,Dec-11,Fully Paid,credit_card,MA,20.57,0,0.0,11,2,2,5
14400,14400,14400.0,36,8.9,457.25,A,A5,1,OWN,150000.0,Dec-11,Fully Paid,debt_consolidation,NY,14.85,0,0.0,11,2,2,15
12000,12000,12000.0,36,14.6,413.94,C,C3,10,RENT,90000.0,Dec-11,Fully Paid,debt_consolidation,NJ,16.56,0,0.0,11,2,2,9
11000,11000,11000.0,36,13.4,373.24,C,C1,10,MORTGAGE,48000.0,Dec-11,Fully Paid,debt_consolidation,TX,21.82,0,0.0,11,2,2,4
7250,7200,7175.0,60,21.6,197.51,F,F3,1,RENT,75000.0,Dec-11,Fully Paid,debt_consolidation,CA,24.82,1,1.0,11,1,1,7
15000,15000,15000.0,36,7.9,469.36,A,A4,1,MORTGAGE,52000.0,Dec-11,Fully Paid,small_business,TX,9.65,0,0.0,11,3,3,5
18000,18000,18000.0,60,19.9,475.99,E,E4,10,MORTGAGE,65000.0,Dec-11,Fully Paid,debt_consolidation,FL,6.81,0,0.0,11,3,3,6
35000,22075,22050.0,60,17.2,551.84,D,D3,3,MORTGAGE,150000.0,Dec-11,Fully Paid,home_improvement,NY,7.51,0,0.0,11,7,4,15
10000,10000,10000.0,36,14.2,343.09,C,C2,2,RENT,68000.0,Dec-11,Fully Paid,credit_card,PA,15.39,0,0.0,11,2,2,6
11800,11800,11800.0,36,12.6,395.83,B,B5,6,RENT,42000.0,Dec-11,Fully Paid,credit_card,NY,9.86,0,0.0,11,2,2,4
4500,4500,4500.0,36,6.0,136.96,A,A1,4,RENT,53000.0,Dec-11,Fully Paid,major_purchase,CA,4.44,0,0.0,11,0,0,5
7000,7000,7000.0,36,12.6,234.82,B,B5,10,RENT,35000.0,Dec-11,Fully Paid,credit_card,CA,11.35,0,0.0,11,1,1,3
9200,9200,9200.0,36,12.4,307.43,B,B4,2,RENT,60000.0,Dec-11,Fully Paid,debt_consolidation,CA,19.96,0,0.0,11,1,1,6
4500,4500,4475.0,60,10.6,97.06,B,B2,1,MORTGAGE,42000.0,Dec-11,Fully Paid,car,TX,5.4,0,0.0,11,0,0,4
12000,12000,12000.0,36,16.2,423.61,D,D1,9,RENT,88365.0,Dec-11,Fully Paid,debt_consolidation,AZ,16.85,0,0.0,11,2,2,8
12000,12000,12000.0,36,13.4,407.17,C,C1,4,RENT,72000.0,Dec-11,Fully Paid,debt_consolidation,CA,21.33,0,0.0,11,2,2,7
12000,12000,12000.0,36,10.6,390.88,B,B2,1,RENT,62000.0,Dec-11,Fully Paid,credit_card,TX,23.94,0,0.0,11,2,2,6
7000,7000,7000.0,36,10.6,228.02,B,B2,3,MORTGAGE,43680.0,Dec-11,Fully Paid,credit_card,MN,5.38,0,0.0,11,1,1,4
8200,8200,8200.0,60,19.4,214.62,E,E3,3,RENT,120000.0,Dec-11,Fully Paid,debt_consolidation,NY,2.8,0,0.0,11,1,1,12
10500,10500,10500.0,36,12.6,352.23,B,B5,10,RENT,66000.0,Dec-11,Fully Paid,medical,CA,20.73,0,0.0,11,2,2,6
7000,7000,7000.0,36,11.7,231.54,B,B3,4,OWN,39120.0,Dec-11,Fully Paid,debt_consolidation,FL,21.01,1,0.0,11,1,1,3
20000,12800,12775.0,60,11.7,282.86,B,B3,4,MORTGAGE,47800.0,Dec-11,Fully Paid,debt_consolidation,VA,10.04,0,0.0,11,4,2,4
17500,17500,17500.0,60,17.2,437.47,D,D3,7,MORTGAGE,45000.0,Dec-11,Charged Off,credit_card,WA,21.31,0,0.0,11,3,3,4
3500,3500,3500.0,36,6.0,106.53,A,A1,10,MORTGAGE,83000.0,Dec-11,Fully Paid,car,IL,2.31,0,0.0,11,0,0,8
6200,6200,6200.0,36,9.9,199.8,B,B1,2,RENT,25000.0,Dec-11,Charged Off,debt_consolidation,CA,20.64,0,0.0,11,1,1,2
6000,6000,6000.0,36,8.9,190.52,A,A5,8,OWN,28800.0,Dec-11,Fully Paid,debt_consolidation,NJ,13.17,0,0.0,11,1,1,2
7200,7200,7200.0,36,9.9,232.02,B,B1,6,RENT,135000.0,Dec-11,Fully Paid,credit_card,NY,6.12,0,0.0,11,1,1,13
9500,9500,9500.0,36,8.9,301.66,A,A5,7,MORTGAGE,50000.0,Dec-11,Fully Paid,credit_card,TX,8.18,0,0.0,11,1,1,5
18825,18825,18800.0,60,16.7,465.53,D,D2,10,RENT,38000.0,Dec-11,Charged Off,debt_consolidation,TX,23.18,0,0.0,11,3,3,3
24000,24000,24000.0,36,10.6,781.76,B,B2,10,RENT,45000.0,Dec-11,Fully Paid,debt_consolidation,CA,14.8,0,0.0,11,4,4,4
6000,6000,6000.0,36,13.4,203.59,C,C1,10,RENT,80000.0,Dec-11,Fully Paid,debt_consolidation,CA,11.58,0,0.0,11,1,1,8
6000,6000,6000.0,36,13.4,203.59,C,C1,5,RENT,50000.0,Dec-11,Fully Paid,debt_consolidation,AZ,15.38,0,0.0,11,1,1,5
2100,2100,2100.0,36,12.4,70.18,B,B4,10,MORTGAGE,30000.0,Dec-11,Fully Paid,vacation,LA,19.72,0,0.0,11,0,0,3
5500,5500,5500.0,36,6.6,168.88,A,A2,8,MORTGAGE,110000.0,Dec-11,Fully Paid,small_business,CT,9.69,0,0.0,11,1,1,11
11000,11000,11000.0,36,6.6,337.75,A,A2,8,OWN,45608.0,Dec-11,Fully Paid,debt_consolidation,LA,20.5,0,0.0,11,2,2,4
26800,26800,26800.0,60,20.8,723.38,F,F1,3,MORTGAGE,120000.0,Dec-11,Fully Paid,debt_consolidation,FL,12.15,0,0.0,11,5,5,12
8000,8000,8000.0,36,12.6,268.36,B,B5,5,MORTGAGE,35000.0,Dec-11,Fully Paid,debt_consolidation,IL,10.05,0,0.0,11,1,1,3
10000,10000,10000.0,36,18.2,362.78,D,D5,1,RENT,75000.0,Dec-11,Charged Off,credit_card,CA,24.14,0,0.0,11,2,2,7
8000,8000,8000.0,36,11.7,264.61,B,B3,9,MORTGAGE,35000.0,Dec-11,Fully Paid,credit_card,NV,9.7,0,0.0,11,1,1,3
10000,10000,10000.0,36,8.9,317.54,A,A5,6,RENT,24000.0,Dec-11,Fully Paid,debt_consolidation,CA,7.0,0,0.0,11,2,2,2
12000,12000,12000.0,36,11.7,396.92,B,B3,2,MORTGAGE,126000.0,Dec-11,Fully Paid,debt_consolidation,OH,13.32,0,0.0,11,2,2,12
10000,10000,10000.0,36,7.9,312.91,A,A4,1,RENT,43000.0,Dec-11,Fully Paid,debt_consolidation,CA,25.26,0,0.0,11,2,2,4
12000,12000,12000.0,36,9.9,386.7,B,B1,1,RENT,50000.0,Dec-11,Fully Paid,debt_consolidation,CA,16.44,0,0.0,11,2,2,5
25000,25000,23088.16106,60,13.4,575.12,C,C1,10,MORTGAGE,67000.0,Dec-11,Charged Off,credit_card,AK,14.15,0,0.0,11,5,4,6
19750,19750,19725.0,36,10.6,643.33,B,B2,4,RENT,45000.0,Dec-11,Charged Off,debt_consolidation,OR,22.8,0,0.0,11,3,3,4
10000,10000,10000.0,36,9.9,322.25,B,B1,3,RENT,31200.0,Dec-11,Fully Paid,debt_consolidation,NY,14.81,0,0.0,11,2,2,3
13650,13650,13650.0,36,12.4,456.12,B,B4,4,RENT,66000.0,Dec-11,Fully Paid,debt_consolidation,NV,24.09,0,0.0,11,2,2,6
28000,11800,11775.0,60,19.9,312.04,E,E4,10,RENT,52000.0,Dec-11,Charged Off,debt_consolidation,TX,20.7,0,0.0,11,5,2,5
18000,18000,18000.0,36,7.9,563.23,A,A4,10,RENT,56964.0,Dec-11,Fully Paid,debt_consolidation,CA,27.55,0,0.0,11,3,3,5
2500,2500,2500.0,36,14.2,85.78,C,C2,7,RENT,49500.0,Dec-11,Fully Paid,debt_consolidation,FL,10.33,0,0.0,11,0,0,4
21000,21000,20120.806569999997,60,20.3,559.89,E,E5,10,RENT,70000.0,Dec-11,Fully Paid,credit_card,CO,23.21,0,0.0,11,4,4,7
35000,35000,35000.0,36,8.9,1111.37,A,A5,6,MORTGAGE,125000.0,Dec-11,Fully Paid,debt_consolidation,CA,22.71,0,0.0,11,7,7,12
10000,10000,10000.0,36,7.5,311.11,A,A3,3,RENT,33000.0,Dec-11,Fully Paid,credit_card,NJ,9.75,0,0.0,11,2,2,3
7000,7000,7000.0,36,12.6,234.82,B,B5,1,RENT,30000.0,Dec-11,Fully Paid,credit_card,VA,15.8,0,0.0,11,1,1,3
24000,24000,24000.0,36,15.9,843.3,C,C5,8,MORTGAGE,90000.0,Dec-11,Charged Off,home_improvement,CA,9.17,0,0.0,11,4,4,9
10625,10625,10625.0,36,7.5,330.56,A,A3,5,MORTGAGE,23000.0,Dec-11,Fully Paid,medical,OR,18.89,0,0.0,11,2,2,2
5000,5000,5000.0,36,14.6,172.48,C,C3,2,RENT,24000.0,Dec-11,Fully Paid,debt_consolidation,PA,18.3,0,0.0,11,1,1,2
8850,8850,8850.0,36,6.6,271.73,A,A2,10,RENT,62000.0,Dec-11,Fully Paid,credit_card,MD,17.71,0,0.0,11,1,1,6
6375,6375,6375.0,36,7.5,198.34,A,A3,4,RENT,44000.0,Dec-11,Fully Paid,debt_consolidation,GA,4.8,0,0.0,11,1,1,4
6000,6000,6000.0,36,11.7,198.46,B,B3,1,RENT,90000.0,Dec-11,Fully Paid,credit_card,NJ,2.97,0,0.0,11,1,1,9
11100,11100,11100.0,36,6.6,340.82,A,A2,10,RENT,41000.0,Dec-11,Charged Off,credit_card,PA,29.85,0,0.0,11,2,2,4
10000,10000,10000.0,60,12.6,225.95,B,B5,2,MORTGAGE,56000.0,Dec-11,Fully Paid,debt_consolidation,CA,10.82,0,0.0,11,2,2,5
6200,6200,6200.0,36,6.0,188.71,A,A1,5,MORTGAGE,26500.0,Dec-11,Fully Paid,small_business,WV,18.2,0,0.0,11,1,1,2
15000,15000,15000.0,36,18.6,547.12,E,E1,1,RENT,54000.0,Dec-11,Fully Paid,debt_consolidation,GA,19.69,0,0.0,11,3,3,5
4200,4200,4200.0,36,11.7,138.92,B,B3,2,RENT,53000.0,Dec-11,Fully Paid,other,MD,16.91,0,0.0,11,0,0,5
14000,14000,14000.0,36,14.2,480.33,C,C2,4,RENT,52800.0,Dec-11,Fully Paid,debt_consolidation,CA,7.36,0,0.0,11,2,2,5
8875,8875,8875.0,36,7.5,276.11,A,A3,1,MORTGAGE,38000.0,Dec-11,Fully Paid,debt_consolidation,GA,23.53,0,0.0,11,1,1,3
13500,13500,13500.0,36,9.9,435.04,B,B1,7,RENT,38000.0,Dec-11,Fully Paid,debt_consolidation,CA,12.38,0,0.0,11,2,2,3
12000,12000,12000.0,36,9.9,386.7,B,B1,2,RENT,42000.0,Dec-11,Charged Off,debt_consolidation,MN,7.83,0,0.0,11,2,2,4
16000,16000,15975.0,60,19.9,423.11,E,E4,4,RENT,55000.0,Dec-11,Fully Paid,debt_consolidation,WA,15.8,0,0.0,11,3,3,5
21600,21600,20498.26578,60,19.4,565.32,E,E3,8,MORTGAGE,60000.0,Dec-11,Fully Paid,debt_consolidation,GA,16.74,0,0.0,11,4,4,6
6000,6000,6000.0,36,10.6,195.44,B,B2,6,MORTGAGE,87000.0,Dec-11,Fully Paid,home_improvement,NJ,12.86,0,0.0,11,1,1,8
8450,8450,8425.0,60,16.7,208.97,D,D2,5,OWN,25000.0,Dec-11,Fully Paid,debt_consolidation,IL,22.51,0,0.0,11,1,1,2
20000,20000,18590.33777,60,13.4,460.1,C,C1,1,RENT,82000.0,Dec-11,Fully Paid,credit_card,OH,17.68,0,0.0,11,4,3,8
10000,10000,10000.0,36,11.7,330.76,B,B3,8,RENT,60000.0,Dec-11,Charged Off,debt_consolidation,CA,22.08,0,0.0,11,2,2,6
12000,12000,12000.0,36,16.2,423.61,D,D1,5,MORTGAGE,80000.0,Dec-11,Fully Paid,credit_card,GA,18.18,0,0.0,11,2,2,8
13475,13475,13450.0,60,13.4,309.99,C,C1,10,RENT,25000.0,Dec-11,Charged Off,credit_card,CA,21.89,0,0.0,11,2,2,2
7200,7200,7200.0,36,12.4,240.59,B,B4,5,RENT,48000.0,Dec-11,Fully Paid,major_purchase,IL,17.43,0,0.0,11,1,1,4
5600,5600,5600.0,36,14.6,193.17,C,C3,1,MORTGAGE,85000.0,Dec-11,Charged Off,debt_consolidation,AZ,12.24,0,0.0,11,1,1,8
12000,12000,11975.0,36,14.2,411.71,C,C2,1,RENT,57000.0,Dec-11,Fully Paid,debt_consolidation,CA,10.86,0,0.0,11,2,2,5
8500,8500,8500.0,36,6.0,258.71,A,A1,2,RENT,25000.0,Dec-11,Fully Paid,credit_card,MD,1.73,0,0.0,11,1,1,2
8000,8000,8000.0,36,9.9,257.8,B,B1,2,RENT,34000.0,Dec-11,Fully Paid,credit_card,PA,18.28,0,0.0,11,1,1,3
8000,8000,8000.0,36,12.4,267.33,B,B4,10,RENT,40000.0,Dec-11,Fully Paid,credit_card,OR,15.0,0,0.0,11,1,1,4
16000,16000,8150.0,60,15.2,382.92,C,C4,10,RENT,42656.4,Dec-11,Fully Paid,debt_consolidation,GA,17.44,0,0.0,11,3,1,4
15000,15000,15000.0,36,17.2,536.81,D,D3,2,MORTGAGE,44400.0,Dec-11,Fully Paid,house,FL,3.59,1,1.0,11,3,3,4
10000,10000,10000.0,36,9.9,322.25,B,B1,2,OWN,30000.0,Dec-11,Fully Paid,debt_consolidation,VT,11.24,0,0.0,11,2,2,3
10000,10000,10000.0,36,6.6,307.04,A,A2,5,MORTGAGE,70000.0,Dec-11,Fully Paid,credit_card,NY,16.78,0,0.0,11,2,2,7
8000,8000,8000.0,36,14.6,275.96,C,C3,3,RENT,28000.0,Dec-11,Fully Paid,car,CA,12.6,0,0.0,11,1,1,2
22000,22000,22000.0,36,9.9,708.95,B,B1,2,MORTGAGE,50000.0,Dec-11,Fully Paid,debt_consolidation,MI,13.22,0,0.0,11,4,4,5
6000,6000,6000.0,36,14.2,205.86,C,C2,10,MORTGAGE,94800.0,Dec-11,Fully Paid,car,TX,24.53,0,0.0,11,1,1,9
16000,16000,15975.0,60,9.9,339.25,B,B1,10,OWN,40000.0,Dec-11,Fully Paid,debt_consolidation,FL,9.39,0,0.0,11,3,3,4
13500,13500,13500.0,36,9.9,435.04,B,B1,2,MORTGAGE,36000.0,Dec-11,Fully Paid,credit_card,DC,22.93,0,0.0,11,2,2,3
25000,25000,25000.0,36,12.4,835.39,B,B4,2,RENT,225000.0,Dec-11,Fully Paid,debt_consolidation,NJ,8.32,0,0.0,11,5,5,22
10000,10000,10000.0,36,13.4,339.31,C,C1,2,RENT,45900.0,Dec-11,Fully Paid,small_business,CA,24.97,0,0.0,11,2,2,4
2500,2500,2500.0,36,13.4,84.83,C,C1,4,RENT,27200.0,Dec-11,Fully Paid,debt_consolidation,WA,6.44,0,0.0,11,0,0,2
7325,7325,7325.0,36,12.6,245.72,B,B5,1,RENT,42000.0,Dec-11,Fully Paid,debt_consolidation,FL,22.57,0,0.0,11,1,1,4
4000,4000,4000.0,36,12.4,133.67,B,B4,5,RENT,135000.0,Dec-11,Fully Paid,credit_card,NY,12.12,0,0.0,11,0,0,13
10000,10000,10000.0,36,13.4,339.31,C,C1,5,RENT,65000.0,Dec-11,Charged Off,small_business,CA,6.92,0,0.0,11,2,2,6
7750,7750,7750.0,36,17.2,277.36,D,D3,1,RENT,24000.0,Dec-11,Charged Off,debt_consolidation,IL,16.1,0,0.0,11,1,1,2
20000,20000,20000.0,60,20.8,539.84,F,F1,6,RENT,70000.0,Dec-11,Charged Off,debt_consolidation,FL,16.63,0,0.0,11,4,4,7
9600,9600,9600.0,36,12.4,320.79,B,B4,10,RENT,65000.0,Dec-11,Fully Paid,debt_consolidation,NY,11.65,0,0.0,11,1,1,6
21000,21000,21000.0,60,11.7,464.07,B,B3,3,RENT,60000.0,Dec-11,Charged Off,debt_consolidation,CA,6.62,0,0.0,11,4,4,6
14000,14000,14000.0,36,10.6,456.03,B,B2,3,RENT,30000.0,Dec-11,Fully Paid,credit_card,CT,15.52,0,0.0,11,2,2,3
13350,13350,13350.0,36,12.4,446.1,B,B4,10,RENT,43000.0,Dec-11,Fully Paid,debt_consolidation,CA,20.57,0,0.0,11,2,2,4
15000,15000,15000.0,36,16.7,533.08,D,D2,10,RENT,42000.0,Dec-11,Charged Off,debt_consolidation,WI,19.63,0,0.0,11,3,3,4
